N,tc,ti,te
10,149980.0,202566.0,1.564131e6
100,1.276535e7,1.4443987e7,7.4624811e7
200,1.03395002e8,1.10593115e8,6.51332867e8
300,3.61070305e8,3.87183159e8,2.661121296e9
400,9.45571352e8,9.94838275e8,6.720872905e9
500,1.920554251e9,1.97534739e9,1.3354688279e10
600,3.358504578e9,3.464866412e9,2.5146779864e10
700,5.786068608e9,5.881702e9,4.4443735691e10
800,8.777172358e9,8.90069676e9,6.9425243676e10
900,1.2997914016e10,1.3151304293e10,1.01863443561e11
1000,1.7421543102e10,1.7621763219e10,1.34638072508e11
